Name,Age,Gender,Breed,Description,Size,Has_Special_Needs,Is_Housebroken,Is_Hypoallergenic,Is_Ok_With_Other_Cats,Is_Ok_With_Other_Dogs,Is_Ok_With_Other_Kids,Is_Spayed_Neutered,Weight,Image_URL,Adoption_URL,urls
Cullen ,Puppy,Female,Labrador Retriever,"🐾 Meet Cullen! ☀️ This adorable 7-week-old Retriever mix weighs just 5.8 lbs, but her personality is mighty! Cullen was found as a stray in Texas and has quickly shown what a curious, joyful little adventurer she is. She absolutely loves to explore, chase her toys, and play with her furry friends. Whether it’s romping around with other dogs, gently sniffing cats, or cuddling up with kids, Cullen is happiest when she’s surrounded by love and fun. She’ll be ready to leave our rescue around 8–9 weeks old, once she’s completed her vetting and is all set to start her forever adventure. 💛 If you’re looking for a playful, affectionate pup to bring endless smiles to your home, Cullen is your girl!",Small,,False,Not Sure,True,True,True,,5.8,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5520786/IMG_4029.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2575486&premium=true,https://www.wagtopia.com/search/pet?id=2575486
Rick ,Puppy,Male,Labrador Retriever/Mixed Breed,"✨ Meet Rick ✨ This 3.5-month-old lab mix is the total package — sweet, playful, and full of love 🐾💛 Rick does great with other animals (including cats 🐱) and absolutely adores children. He’s calm on car rides, walks wonderfully on a leash, and is ready to bring joy into any home 🏡. Unlike his brother Hershel, Rick doesn’t have a deformed eye — but both share the same gentle spirit and happy-go-lucky personality. Rick is just waiting for his forever family to see how special he is! 💙 📍 Currently in foster care and ready for adoption!",Small,,False,Not Sure,True,True,True,,20,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5482588/IMG_2700.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2511135&premium=true,https://www.wagtopia.com/search/pet?id=2511135
Buddy,Adult,Male,Cocker Spaniel,"Meet Sweet Almost 3-Year-Old Spaniel!** Introducing our delightful almost 3-year-old spaniel, a loving companion who brings joy to everyone he meets! Despite some physical challenges, including a narrow space between the disks in his back and tenderness in his hips, he never lets that get in the way of his playful spirit. With the help of carprofen, he stays comfortable and ready to explore his surroundings. Our boy has a playful personality and is great with cats, dogs, and kids alike, making him the perfect addition to any family. His foster has found creative solutions to support him, like a diaper and belly band, which allow him to thrive in his loving environment. While he may sometimes have accidents while walking and gets a little too excited, his sweet demeanor and affectionate nature easily win over hearts. He is ready to find his forever home, where he can share his love and receive the care he deserves. Will you be the one to give him a second chance? We need a foster by commitment by tonight for Saturday/sunday !***",Medium,,True,Not Sure,True,True,True,,,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5174396/IMG_2809.webp,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2349042&premium=true,https://www.wagtopia.com/search/pet?id=2349042
Asher ,Puppy,Male,Mixed Breed,"Asher is the sweetest big boy with a shy heart and a goofy spirit waiting to shine! Once he feels safe, his tail starts wagging, his personality blossoms — and he’ll melt right into your lap (even though he doesn’t quite realize his size 😂). 🌟 What Makes Asher Special: • Shy at first, but bonds beautifully with gentle people • Good with cats and other dogs — respectful & friendly • Enjoys walks in the city and exploring new places • Food-motivated — great for continued training • Still growing… those big paws are going to be impressive! • Might borrow his sister’s snacks if you’re not watching 👀💛 🏡 Home Skills: • Sleeps quietly in his crate from 10 PM – 7/8 AM • Only a few overnight accidents — learning quickly • Working on potty training + uses puppy pads • Gets along well with dogs of all sizes & personalities Asher would thrive in a patient, loving home that can help him build confidence and continue his training. He’s a gentle, smushy, city-ready puppy who just wants to feel safe and loved — and he’ll give it right back tenfold. 💛",Medium,,False,Not Sure,True,True,True,,30lbs and growing!,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5499134/d1eecf5f6a42f49f8c428a126c54acdd.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2566203&premium=true,https://www.wagtopia.com/search/pet?id=2566203
Princess,,Female,Pit Bull Terrier,"💗 Meet Princess – A Heart Too Big for the Pain She’s Known 💗 Princess’s story is one that truly touches the soul. This beautiful 6-month-old Pitbull mix was rescued back in August by a kind man who adored her deeply. He found her when she needed someone most — scared, unwanted, and alone — and he gave her safety, love, and a name fit for her sweet spirit: Princess. Tragically, her rescuer passed away not long after saving her. 💔 Through heartbreak and loss, one thing remained clear — Princess meant the world to him, and he wanted her to have a happy life. After his passing, a compassionate neighbor stepped in to make sure Princess wouldn’t end up back on the streets. She’s been caring for her and reaching out for help to find the forever home her rescuer always dreamed of for her. Princess is everything her name promises — gentle, loyal, affectionate, and eager to please. She’s still very young, learning the world around her, and deserves a patient family who will continue to guide her with love. She’s dog-friendly with the right introductions and adores human companionship — all she wants is to belong.",,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5511157/IMG_3559.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2571500&premium=true,https://www.wagtopia.com/search/pet?id=2571500
Jasmine ,Young,,American Staffordshire Terrier,"🌸 MEET JASMINE — ADOPTABLE & AMAZING! 🌸 Great with livestock • cats • dogs • ADORES children! This sweet girl has made incredible progress in just one week and she’s READY to find her forever family! 🏡💕 Here’s what her foster says about her 👇 ✨ Walks nicely on leash — learning not to pull and doing GREAT ✨ Loves toys and playtime with her foster dog friend, Goose! ✨ Gets excited and does little puppy nibbles, but redirects easily to toys ✨ Sleeps through the entire night — NO accidents in the house! ✨ Huge cuddle bug who melts right into you 🥹🤍 ✨ Enjoys car rides and gazing out the window 🚗 ✨ GOOD WITH: 🐶 Other dogs 🐱 Cats 🐄 Livestock 👧 Children! She is the total package — playful, smart, loving, and eager to continue learning! All she needs now is her forever family to love her. Could that be you? 🫶 📩 Apply to adopt Jasmine: www.brixiesrescueinc.net 📍 Located in the NYC Metro Area (NY/NJ/CT/PA) ❤️ Please share to help Jasmine find her home! ❤️",Medium,,True,Not Sure,True,True,True,,40,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5517676/att.fnwIbdugfUuBN7tInaVjgnWOzJGi7PDly65toRGpcDw.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2574075&premium=true,https://www.wagtopia.com/search/pet?id=2574075
Claira,Puppy,Female,Retrievers (All Types),"🐾 Meet Claria! 🌼 At just 6 weeks old and weighing only 6 lbs, little Claria has already proven she’s a fighter. Found as a stray in Texas, this adorable Retriever mix is now safe in our care and soaking up all the love she can get! Claria is as sweet and gentle as they come — she adores everyone she meets, from playful pups to curious cats and even children. She loves to play, explore, and then curl up for snuggles once she’s tuckered out. She’ll be ready to leave our rescue around 8–9 weeks old once she’s fully vetted and ready for her forever family. 💛 Claria may have started her life alone, but with your love, her story can have the happiest ending.",Small,,False,Not Sure,True,True,True,,6lbs ,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5563381/IMG_5967.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2575485&premium=true,https://www.wagtopia.com/search/pet?id=2575485
Naveen ,Puppy,Male,Terriers (Small)/Terriers (Small),"Arriving December 6th Estimated Adult Weight: Under 25 lbs Naveene is a tiny, gentle baby boy weighing only 2 pounds — one of the smallest pups we’ve ever had. He’s expected to stay small as an adult (under 25 lbs) and would make the perfect companion for someone looking for a sweet, low-energy pup to love. He already shows a calm personality and loves soft blankets and cuddles. Once he feels safe, he’ll follow you around like a little shadow. He deserves a safe place to grow, learn, and finally have a family of his own ❤️ ✨ Naveene’s Ideal Home: ✔️ Someone gentle & patient ✔️ Could do well with respectful kids & pets ✔️ Apartment-friendly ✔️ Loves cuddles & one-on-one attention This little boy may be small — but his love will be BIG. Give him a chance to grow up knowing safety, warmth, and kindness 💙",Small,,False,Not Sure,True,True,True,,2lbs ,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5551115/IMG_5397.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2591561&premium=true,https://www.wagtopia.com/search/pet?id=2591561
Juicy Fruit ,Puppy,Male,American Staffordshire Terrier,"If you’re looking for a dog who’s all smiles, tail wags, and good vibes — meet Juicy Fruit! 💛 This adorable boy is full of love and playfulness. He’s the kind of pup who makes friends everywhere he goes — whether it’s other dogs, kids, or new people! 🐶👧🧒 He’s great with other dogs, amazing with kids, and just wants to be part of the fun. Juicy Fruit loves to play, snuggle, and soak up all the love he can get.",Medium,,True,Not Sure,Not Sure,True,True,,38,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5509301/att.NzM1ZhYMqXUH2AKReZMsg3vaZxB6E3pslyQXQm21n9I.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2570505&premium=true,https://www.wagtopia.com/search/pet?id=2570505
Alderly (Al),Adult,Male,Mixed Breed,"Put Short Bio here: Alderly (we call him Larry) is the most loving and kind pup I've ever had the pleasure of spending time with. He is perfectly house trained and kind and gentle to all. He is the biggest snuggle bug with his favorite people. He's equally happy to spend the whole day cuddling in bed or exploring the nieghborhood. He really is the best boy in the world and would be the perfect edition to any family. This dog is truly a blessing and has shown me so much love, he is so easy to fall in love iwth and watching him grow into the more confident happy pup he is now has been a privilege. Fill out all below: Personality & Characteristics: Snuggliest guy ever to his mom, but a little more hesitant to open up fully to others - always is polite and gentle. Curious and adorable walk compainion, never pulls on leash, just excited to sniff around and hang out with me. My foster dog is good with: Dogs, Kids, Cats My foster dog is: House trained 3 Keywords for your pup: SNUGGLER, loyal, patient Energy Level (1= calm, 10= high energy): 5 Barker? Or Quiet Pup?: very quiet boy, sometimes will cry of excitement when I get home after a while Walking Manners: Perfect manners, just occasionally a little bit nervous around loud motercycles, tall men, and big cars Appetite: Perfectly normal Favorite Things: Snuggles (/whoever is his favorite person), walks, bullysticks/greenies,!his farmers dog food, Commands/Tricks: very good with stay/come/yes/no type commands but no tricks up his sleeve quite yet - I'm sure he'll be a fast learner ALL adoptions require a completed application and final contract. The application can be found at WaldosRescue.org and once you are approved to adopt you will be put in touch with the foster to see if it’s a good match. We are a RESCUE not a shelter. We conduct veterinary and personal reference checks during the application approval process. We are unable to contact every applicant for every dog. We will select the best applicant for each dog, based on the dogs needs. Waldos Rescue Pen is a 501c3 whose primary focus is rescuing dogs from the euthanasia list from high kill shelters throughout the United States and Korea.",Medium,,Not Sure,Not Sure,Not Sure,True,True,,30lbs,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5466949/IMG_1748__1_.jpg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2546230&premium=true,https://www.wagtopia.com/search/pet?id=2546230
Red,Young,Female,Chihuahua/Dachshund,"Red - 4 years, 12lbs, Chiweenie, Spayed Our Team Says: Red would do best in a home with another dog. She came from a hoarding situation and is much more confident around another dog. This dog is eligible to join our foster-to-adopt program. Please email fostertoadopt@socialteesnyc.org with the animal’s name in the subject line if you are interested! Want to straight up adopt? Submit an adoption application a t socialteesnyc.org Level of dog ownership experience needed: BEGINNER: This means we predict this dog will be low on the challenge scale due to its breed/age combo. Potentially a good fit for someone who has relevant dog care experience (fostering, dog sitting) and is looking to adopt their first pup. Energy level MEDIUM: Needs a daily 60-90 minute walk or window of quick paced exercise (minimum) in addition to potty break strolls (10-30 min each). Also needs significant socializing opportunities outside the home and mental stimulation at home like tricks training practice, chew items, and puzzle toys. (This is regardless of dog size – many small breeds were designed for lots of activity and will exhibit unwanted behavior when they’re understimulated.) Okay in the city? We don’t know yet. Most adult dogs do well in the city after they’ve had time to adjust to a new environment, but some never adapt and need homes in the burbs. Potty trained? Probably! Adults usually are, but all will have transitional accidents for the first week or so. A consistent walking route and schedule plus finding spots with grass or dirt can help. Social with other dogs? Yes, but we don’t know to what degree yet. Some like to wrestle with every passing pup, others can coexist well but prefer to keep to themselves. We’ll learn more soon. Social with cats? Not sure yet! Some breed mixes that are generally NOT great matches for homes with cats include large hounds, huskies, and shepherds. Comfortable with children? (ALWAYS requires adult supervision) We’re not sure yet, but we try to err on the side of caution. Respectful kids ages 8 and up are probably a safe bet. Children must always be monitored and taught to interact with dogs of any age respectfully. Medical status Healthy as far as we know. Up to date on their DHPP, Bordetella, and Rabies vaccines; heartworm tested if coming from the South or Puerto Rico ; spayed/neutered; microchipped; treated with dewormer upon intake How this dog ended up with Social Tees: Most of our dogs come via partner groups who help us save them from shelters where they are at risk of euthanasia in Tennessee, Los Angeles and Puerto Rico. There are very few spay/neuter resources there and many more animals in those areas than there are people to adopt them. Rescue groups like ours bring them to the northeast where the desire for pets like these allows us to save their lives. PLEASE NOTE: We cannot guarantee any breed mix, exact age, or full grown size (if the dog is under a year old). We do our best with very educated guesses though! This animal is not at the Social Tees office, all are in foster homes. LEARN MORE ABOUT US: socialteesnyc.org and Instagram @socialteesnyc",Small,,True,False,True,True,True,,,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5516519/IMG_9649.jpg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2556982&premium=true,https://www.wagtopia.com/search/pet?id=2556982
Lissa,Young,Female,Beagle/Labrador Retriever,"Lissa - 1 yr, 35 lbs, Beagle/Lab Mix, Spayed This dog is eligible to join our foster-to-adopt program. Please email fostertoadopt@socialteesnyc.org with the animal’s name in the subject line if you are interested! Want to straight up adopt? Submit an adoption application at socialteesnyc.org. Our Team Says: ""Lissa is a very easy, chill and well behaved dog to have around. A perfect buddy. She would do best in a calm part of the city - BK, Queens or the calm areas near Central Park. She'd be beyond thrilled to live in the burbs. She's very trusting of women but takes some time to warm up to men, so they need to be extra gentle and patient with her."" Thier Foster Parent Says: "" Lissa is such a sweet girl. She loves attention - pets, belly rubs, even just talking to her. She loves to play fetch in the house with her stuffed toys and especially the tennis ball. She likes to play bite but is super gentle and listens when told to be nice or to stop. She knows sit, down, paw, other paw, and two paws (two paws meet two hands) - loves treats so can only do so many of those tricks before she gets too excited. Lissa loves to be outside and sniff but can be wary of noisier streets. Garbage trucks and mopeds/motorcycles seem to bother her the most. I think she would love a yard, and/or a quiet neighborhood to get longer walks in or near a park. If we go earlier in the morning when it is quiet, she walks very well. Easy to handle on the leash, sometimes just needs a little extra encouragement to keep walking if she gets spooked. Completely potty trained. We go out in the morning before breakfast, 1-2 times during the day, and once more before bedtime. Even though she doesn't walk too much, she's still pretty chill in the apartment. She'll sleep, seek out attention throughout the day to play for a bit and get out some energy, but ultimately hangs on the couch and just likes to be near someone. Loves attention but is just fine left alone - always greets you like you've been gone for ages and it is the sweetest welcome home. I adore her! She is very easy to take care of and is such a lover. Genuinely surprised someone hasn't adopted her yet!"" Level of dog ownership experience needed: INTERMEDIATE: This dog will need significant structure and plenty of daily exercise, training, and mental stimulation – 90 consecutive minutes of movement in the morning plus potty break walks and brain games throughout the day. The adopter must have relevant primary care experience with a similar breed, temperament, and/or energy level. (Primary care experience includes ownership, fostering, or dog sitting as an adult, not a dog you grew up with.) MEDIUM: Needs a daily 60-90 minute walk or window of quick paced exercise (minimum) in addition to potty break strolls (10-30 min each). Also needs significant socializing opportunities outside the home and mental stimulation at home like tricks training practice, chew items, and puzzle toys. (This is regardless of dog size – many small breeds were designed for lots of activity and will exhibit unwanted behavior when they’re understimulated.) Potty trained? Probably! Adults usually are, but all will have transitional accidents for the first week or so. A consistent walking route and schedule plus finding spots with grass or dirt can help. Social with other dogs? Yes, but we don’t know to what degree yet. Some like to wrestle with every passing pup, others can coexist well but prefer to keep to themselves. We’ll learn more soon. Social with cats? Not sure yet! Some breed mixes that are generally NOT great matches for homes with cats include large hounds, huskies, and shepherds. Comfortable with children? (ALWAYS requires adult supervision) We’re not sure yet, but we try to err on the side of caution. Respectful kids ages 8 and up are probably a safe bet. Children must always be monitored and taught to interact with dogs of any age respectfully. Okay in the city? We don’t know yet. Most adult dogs do well in the city after they’ve had time to adjust to a new environment, but some never adapt and need homes in the burbs. Medical status Healthy as far as we know. Up to date on their DHPP, Bordetella, and Rabies vaccines; heartworm negative; spayed/neutered; microchipped; treated with dewormer upon intake How this dog ended up with Social Tees: Most of our dogs come via partner groups who help us save them from shelters where they are at risk of euthanasia in Tennessee, Puerto Rico or Southern California. There are very few spay/neuter resources there and many more animals in those areas than there are people to adopt them. Rescue groups like ours bring them to the northeast where the desire for pets like these allows us to save their lives. PLEASE NOTE: We cannot guarantee any breed mix, exact age, or full grown size (if the dog is under a year old). We do our best with very educated guesses though! This animal is not at the Social Tees office, all are in foster homes. LEARN MORE ABOUT US: socialteesnyc.org and Instagram @socialteesnyc PLEASE NOTE: This animal is not at the Social Tees office — all of our dogs and cats are in foster homes while they wait to find their forever families. :) If you’d like to apply to adopt this pet, please complete an adoption application at socialteesnyc.org. Because we are a small team and receive hundreds of applications each week, we are unable to respond to every application and every inquiry email, but we do our best. Please have patience! If your application is approved, you will for sure hear from us. If you have questions, please take a look at the Adoption and Fostering FAQs etc. on our website as all common questions are answered there. Thank you for your understanding and flexibility as we work to save these innocent lives!! LEARN MORE ABOUT US: socialteesnyc.org; Instagram via @socialteesnyc; Facebook.com/socialteesanimalrescue",Medium,,True,False,Not Sure,True,True,,,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5382757/Facetune_22-08-2025-19-06-36.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2518650&premium=true,https://www.wagtopia.com/search/pet?id=2518650
Bambino,Young,Male,Pug/Chihuahua,"Bambino - 1.7 year, 20lbs, Pug Mix, Neutered This dog is eligible to join our foster-to-adopt program. Please email fostertoadopt@socialteesnyc.org with the animal’s name in the subject line if you are interested! Want to straight up adopt? Submit an adoption application a t socialteesnyc.org Level of dog ownership experience needed: BEGINNER: This means we predict this dog will be low on the challenge scale due to its breed/age combo. Potentially a good fit for someone who has relevant dog care experience (fostering, dog sitting) and is looking to adopt their first pup. Energy level MEDIUM: Needs a daily 60-90 minute walk or window of quick paced exercise (minimum) in addition to potty break strolls (10-30 min each). Also needs significant socializing opportunities outside the home and mental stimulation at home like tricks training practice, chew items, and puzzle toys. (This is regardless of dog size – many small breeds were designed for lots of activity and will exhibit unwanted behavior when they’re understimulated.) Okay in the city? We don’t know yet. Most adult dogs do well in the city after they’ve had time to adjust to a new environment, but some never adapt and need homes in the burbs. Potty trained? Probably! Adults usually are, but all will have transitional accidents for the first week or so. A consistent walking route and schedule plus finding spots with grass or dirt can help. Social with other dogs? Yes, but we don’t know to what degree yet. Some like to wrestle with every passing pup, others can coexist well but prefer to keep to themselves. We’ll learn more soon. Social with cats? Not sure yet! Some breed mixes that are generally NOT great matches for homes with cats include large hounds, huskies, and shepherds. Comfortable with children? (ALWAYS requires adult supervision) We’re not sure yet, but we try to err on the side of caution. Respectful kids ages 8 and up are probably a safe bet. Children must always be monitored and taught to interact with dogs of any age respectfully. Medical status Healthy as far as we know. Up to date on their DHPP, Bordetella, and Rabies vaccines; heartworm tested if coming from the South or Puerto Rico ; spayed/neutered; microchipped; treated with dewormer upon intake How this dog ended up with Social Tees: Most of our dogs come via partner groups who help us save them from shelters where they are at risk of euthanasia in Tennessee, Los Angeles and Puerto Rico. There are very few spay/neuter resources there and many more animals in those areas than there are people to adopt them. Rescue groups like ours bring them to the northeast where the desire for pets like these allows us to save their lives. PLEASE NOTE: We cannot guarantee any breed mix, exact age, or full grown size (if the dog is under a year old). We do our best with very educated guesses though! This animal is not at the Social Tees office, all are in foster homes. LEARN MORE ABOUT US: socialteesnyc.org and Instagram @socialteesnyc",Small,,True,False,True,True,True,,,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5533897/Bear_Bud_1_yr_20_lbs_pug_mix_M.png,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2581529&premium=true,https://www.wagtopia.com/search/pet?id=2581529
Ladybug,Senior,Female,Chihuahua/Terriers (Small),"Ladybug - 10 years, 12lbs, Chi Mix, Spayed This senior angel is eligible to join our foster-to-adopt program. Please email fostertoadopt@socialteesnyc.org with the animal’s name in the subject line if you are interested! Want to straight up adopt? Submit an adoption application a t socialteesnyc.org Level of dog ownership experience needed: FLEXIBLE: We predict this dog will be low on the challenge scale with regard to exercise and mental stimulation requirements, but seniors tend to need a lot of help and understanding when it comes to lifestyle and veterinary issues. Seniors usually need quiet, calm environments and routines and do not do well with a lot of bustle, change, and rambunctious movement (kids and young playful dogs, for instance). This dog’s adopter will need to be prepared for senior health challenges, which usually come with expensive veterinary bills and time in vet offices. Senior care can also take an emotional toll on their humans. Adopting a mature pup is a wonderful thing to do, but it can also be difficult. Energy level LOWER: Pretty chill indoors and won’t demand endless amounts of stimulation and exercise but still needs a few short walks a day (10-30 min each) for potty breaks and to stretch their legs MEDIUM: Needs a daily 60-90 minute walk in addition to potty break strolls (10-30 min each). Also needs socializing opportunities outside the home and a little mental stimulation at home like tricks training practice or chew items. Okay in the city? We don’t know yet. Most seniors do well in the city after they’ve had time to adjust to a new environment, but some never adapt and need homes in the burbs. Potty trained? Probably! Seniors usually are, but all will have transitional accidents for the first week or so. Seniors tend to need potty breaks more often than younger dogs though, and they can lose their ability to fully control their potty habits as they continue to age, so willingness to be flexible with cleanup and wee pads if necessary is important. Social with other dogs? Yes, but we don’t know to what degree yet. Some enjoy the company of other calm dogs, others can coexist well but prefer to keep to themselves. We’ll learn more soon. Social with cats? Probably. Seniors are usually mellow enough that they are able to coexist well with cats. Comfortable with children? (ALWAYS requires adult supervision) We’re not sure yet, but we try to err on the side of caution. Respectful kids ages 8 and up are probably a safe bet. Children must always be monitored and taught to interact with dogs of any age respectfully. Medical status Healthy as far as we know. Up to date on their DHPP, Bordetella, and Rabies vaccines; heartworm tested if coming from the South or Puerto Rico; spayed/neutered; microchipped; treated with dewormer upon intake. Adopters will need to be ready for senior care – at a minimum, that will be annual checkups including senior bloodwork and a dental post adoption (most senior rescues need one). How this dog ended up with Social Tees: Most of our dogs come via partner groups who help us save them from shelters where they are at risk of euthanasia in Tennessee, Los Angeles and Puerto Rico. There are very few spay/neuter resources there and many more animals in those areas than there are people to adopt them. Rescue groups like ours bring them to the northeast where the desire for pets like these allows us to save their lives. PLEASE NOTE: We cannot guarantee any breed mix, exact age, or full grown size (if the dog is under a year old). We do our best with very educated guesses though! This animal is not at the Social Tees office, all are in foster homes. LEARN MORE ABOUT US: socialteesnyc.org and Instagram @socialteesnyc",Small,,True,False,True,True,True,,,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5533634/ladybug.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2581471&premium=true,https://www.wagtopia.com/search/pet?id=2581471
Pongo,Puppy,Male,Spaniels (Medium)/Poodle (Standard),"Pongo - 6 months & 35lbs (as of 10/21), Poodle Mix, Neutered Estimated full grown size around 50lbs This puppy is eligible to join our foster-to-adopt program. Please email fostertoadopt@socialteesnyc.org with the animal’s name in the subject line if you are interested! Want to straight up adopt? Submit an adoption application a t socialteesnyc.org Our Team Says: Pongo does best in the calmer parts of the city - BK, Queens, etc. Would love a burbs home. Thier Foster Parent Says: “Perfect Pongo” is our nickname for this goofy and cuddly guy. He’s an absolute love bug and can’t get enough of cuddles, especially in the morning when he’s lazy and wants to sleep in. We’ve been working on crate training and he has no aversion to the crate—he’d prefer to sit with you on the couch, but on occasion he has put himself to bed in the crate. He now knows how to “sit” and “come”, both of which are super helpful in walks when the city can become a little overstimulating for this Southern Gentleman. On walks he’s getting better on the leash, although he does love trash bags, probably a survival tactic from his previous days. He’s truly the nicest and kindest dog, with a heart of gold. He’s also incredibly enthusiastic, which can be both good and bad on walks. He loves to play with other dogs, sometimes playing for him is using his big paws to bat at another pup. He can be skittish around loud noises and big trucks. His potty training is going well! He does prefer to pee inside on a puppy pad, but he hasn’t had an accident off the puppy pad since his first day. He is a puppy so he might try to put his mouth around your finger, but he never closes on it. He’s got a soft mouth and the best heart."" Level of dog ownership experience needed: INTERMEDIATE: As an adult, this dog will need significant structure and plenty of daily exercise, training, and mental stimulation – 90 consecutive minutes of movement in the morning plus potty break walks and brain games throughout the day. The adopter must have relevant primary care experience with a similar breed, temperament, and/or energy level. (Primary care experience includes ownership, fostering, or dog sitting as an adult, not a dog you grew up with.) Relevant puppy care experience is a huge plus, but bare minimum the adopter must have TONS of time and patience. Raising a puppy can be a lot of fun, but it’s also tremendous work. Puppies’ personalities and exercise/stimulation requirements change dramatically between now and when they’re a year old as their bodies and brains develop, so an active lifestyle and the ability to adapt to a pup’s evolving needs are a must. We strongly urge professional dog training with a rewards based trainer from the get go. Adults only or kids ages 8 and up – all puppies go through a mouthy, rambunctious phase and often accidentally hurt children when playing. PLEASE DO YOUR OWN BREED RESEARCH to make sure you have a better understanding of the kind of temperament and exercise requirements this dog may have as an adult. Energy level MEDIUM: Very young puppies sleep and nap a lot, but their energy level skyrockets when they become teens (4 months to around a year). As an adult, this dog will need significant structure and plenty of daily exercise, training, and mental stimulation – 90 consecutive minutes of movement in the morning plus potty break walks and brain games throughout the day at a minimum. (This is regardless of dog size – many small breeds were designed for lots of activity and will exhibit unwanted behavior when they’re understimulated.) TOLERANCE TO CITY Adjusting to the city – Spooked easily by loud noises and bustling areas but walks pretty well in quiet areas and probably just needs more time to adjust (may be a puppy or a brand new rescue). Would prefer a home in a calmer part of the city or the suburbs. POTTY TRAINING Sort of — On the way and learning! May be using wee pads (is a puppy or a brand new rescue) COMFORT LEVEL WITH STRANGERS Social butterfly – Wants to be friends with everyone who walks by, loves anyone who will stop to say hello. (But also a little shy some days) BEHAVIOR WITH CHILDREN (always requires adult supervision) Yes for most ages – very confident, gentle, low energy, tolerant, not mouthy (Can get scared when kids are erratic or aggressively patting his head) SOCIAL BEHAVIOR WITH OTHER DOGS Yes – Good with most other dogs (sizes, breeds, etc.) as far as we know and enjoys socializing with other canines RESPECTFUL BEHAVIOR WITH OTHER ANIMALS (cats, small pets, etc.) Not sure – Wants to chase squirrels and birds so may not be a good match for a home with cats, rabbits, etc. MOUTHY BEHAVIOR Needs training – Is either still in the puppy stage or was never trained. Tries to put their mouth on your hands when playing or needs attention, grabs leash, chews on your personal belongings SEPARATION ANXIETY Adjusting – Might cry for a few minutes when you first leave the house but settles pretty quickly and has no problem being left alone otherwise. LEASH MANNERS WTF is a leash – Pulls hard. Zig zags like crazy. Has no idea how to walk on a leash or doesn’t have outside privileges yet (too young) CUDDLE BUG LEVEL High – Wants to be in your lap pretty much all the time JUMPING ON PEOPLE TO SAY HELLO Listens to correction – Only jumps on people they know when really excited, stops with correction. CRATE TRAINING Yep/mostly – Seems comfortable in the crate, may whine a little at first but settles pretty quickly. We use the crate when we leave the pup alone and/or at night. MEDICAL STATUS: Healthy as far as we know. Up to date on their DHPP and Bordetella vaccines (for dogs under 4 months old, adopters will need to finish the DHPP vaccine series and administer the Rabies vaccine at 16 weeks of age), spayed/neutered; microchipped; treated with dewormer upon HOW DID THIS DOG END UP WITH US? Most of our dogs come via partner groups who help us save them from shelters where they are at risk of euthanasia in Tennessee, Los Angeles and Puerto Rico. There are very few spay/neuter resources there and many more animals in those areas than there are people to adopt them. Rescue groups like ours bring them to the northeast where the desire for pets like these allows us to save their lives. PLEASE NOTE: We cannot guarantee any breed mix, exact age, or full grown size (if the dog is under a year old). We do our best with very educated guesses though! This animal is not at the Social Tees office, all are in foster homes. LEARN MORE ABOUT US: socialteesnyc.org and Instagram @socialteesnyc",Medium,,True,False,True,True,True,,,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5516529/Pongo_4.jpg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2561127&premium=true,https://www.wagtopia.com/search/pet?id=2561127
