Name,Age,Gender,Breed,Description,Image_URL,Adoption_URL,current_weights,energy_levels,Is_Housebroken,urls
Loki,2 years,Male,Unknown,"Loki is a laid back and very sweet boy who enjoys his time lounging around, whether it's on the couch or on you. His play sessions may not last very long but he definitely enjoys a good romp. He's a foodie through and through with the quickest way to his heart being just about any snack.

﻿Loki is approximately 2y 3m 22d old, approximately 74 pounds, and we estimate their optimal weight to be about 46 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/L/LokiSFCreateDate20251008/i-frkgx7W/0/MNw4hXsmJLjCrwxXLB7RK4MN4NZDGCKK2jGDsqwWs/X2/WhatsApp%20Image%202025-10-21%20at%202.51.25%20PM%20%283%29-X2.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,74.0,4,Yes,https://www.muddypawsrescue.org/adoptable?dog=009136
Kilimanjaro,7 months,Male,Unknown,"Kilimanjaro (aka Jaro) is a very loving pup. He loves all the attention he can get and will happily stay glued to your hip, whether that’s relaxing on the couch, wrapped up in the sheets in bed, or smelling whatever you’re cooking. He’s really friendly with new people too. He’ll wag his little tail and put his big ears back and greet with kisses anytime somebody comes into the room. 

He’s still a puppy so he has a little work to do with leash training and has the occasional accident inside but he’s food motivated and seems to take well to training so I could see him being perfect with a little bit of patience. Also potty accidents are usually avoided if he’s taken out every couple hours. He’s a great companion and will have an amazing time with somebody who’s ready to give him the love he needs.

﻿Kilimanjaro is approximately 0y 6m 20d old and may be 45 to 65 pounds when fully grown. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/OutreachPartnership-Events/2025/MPR-Block-Party-2025/20251019-MPR-Block-Party-Adoption-Event-Elizabeth-Capreol/i-hBS3npX/0/LkXmbb5bBFqmN9J8xgBwDdcXbvdc6tPXbXNxstTWz/X2/20251018-3Q9A0532-X2.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,28.0,2,Unsure,https://www.muddypawsrescue.org/adoptable?dog=009143
Wilbur (bonded with Edna),3 years,Male,Unknown,"Wilbur will burrow his way into your heart! Wilbur is an absolute lap dog and cuddle-bug, and loves being with you. He's always up for adventure, and down to snuggle. Wilbur is a very happy and affectionate pup that loves giving and receiving kisses. He loves chews, playing fetch, going on walks, and playing with Edna.

﻿Wilbur (bonded with Edna) is approximately 3y 1m 19d old and is fully grown at 9 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Adoption-Events/Regular-Adoption-Events/2025-Events/20251101-Adoption-Event-Petco-Union-Square-Alex-Lloyd/i-QsV7SM6/0/MfngrV5HTCML2jQvFNxqDxrPMGQx2jTmXV5JdVnzQ/XL/MuddyPawsRescue1NOV2025-02-XL.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,9.0,2,Yes,https://www.muddypawsrescue.org/adoptable?dog=009165
Edna (bonded with Wilbur),4 years,Female,Unknown,"Edna is a super silly and sweet little potato that loves cozying up with you and being affectionate. She is a bit skittish, especially at first, but is growing her confidence! She loves playing tug, fetch (at a shorter distance than Wilbur), and burrowing under blankets and pillows.

﻿Edna (bonded with Wilbur) is approximately 3y 7m 9d old, approximately 10 pounds, and we estimate their optimal weight to be about 8 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Adoption-Events/Regular-Adoption-Events/2025-Events/20251101-Adoption-Event-Petco-Union-Square-Alex-Lloyd/i-h5KtZcj/0/LTpTQgj64pSkKBg2Vdj47MShsZLmFdLVLb7pNDS6b/XL/MuddyPawsRescue1NOV2025-03-XL.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,10.0,4,Unsure,https://www.muddypawsrescue.org/adoptable?dog=009166
Nefertiti,11 years,Female,Unknown,"Hi!  I'm Nefertiti, but you can call me Neffy or Lil' Nefs!

I spend most of my day doing my favorite activity...napping!  While I take my beauty sleep very seriously, I'll happily get up for the important things (like walking and treat time).  Once I have the time to decompress, I'm an easygoing girl who loves being near my people.  A comfy place to snooze and some belly rubs are really all I need.  If you're looking for a clumsy companion to stroll with you, snack with you, and snore with you, I think we'd be a perfect match!

﻿Nefertiti is approximately 11y 2m 1d old and is fully grown at 44 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/N/NefertitiSFCreateDate20251028/i-mhbHZSH/0/KFVdxQvxrQkph3PT3Z2HBzch4BzpqMvfQtRCGHXMp/XL/IMG_4746%202-XL.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,44.0,4,Yes,https://www.muddypawsrescue.org/adoptable?dog=009209
Hustle,8 months,Male,Unknown,"Hustle has been such a joy to foster! He is the cuddliest little guy! He loves curling up right next to you and will happily nap on your lap for as long as you let him. He’s also great on walks and very easy to redirect if he gets curious about something.

We switched his food to Baby Blue, which he’s been doing really well on. He sleeps straight through the night without any issues and settles down beautifully at bedtime.

Hustle is such a sweet, affectionate, easygoing pup and has been an absolute pleasure to have in my home!

﻿Hustle is approximately 0y 7m 13d old and may be 59 to 71 pounds when fully grown. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Adoption-Events/Regular-Adoption-Events/2025-Events/2025118-Adoption-Event-Petco-USQ-Alex-Lloyd/i-pP8BBh7/0/L74XtGgKFC8qwKTBbZHMsgM82DRQXzRZKDmmn5X9S/X2/MPR.8NOV2025-045-X2.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,35.0,2,Yes,https://www.muddypawsrescue.org/adoptable?dog=009188
Blondie,13 years,Female,Unknown,"Blondie is the sweetest girl you can imagine, and has had a tough road. She just wants to have someone by her side and with her to be close to. Because of her life experiences, it is clear that other dogs and exposure to other dogs are not her favorite thing, and would thrive in a place where she can relax and call her very own. She loves playing little rounds of fetch, loves her little snuffle ball, and loves to cuddle. She has yet to meet a person (adult!) she does not love. She loves her little walks, assuming she doesn't see any other doggies, and just would thrive in a quiet place where she has near constant companionship.

﻿Blondie is approximately 12y 6m 23d old and is fully grown at 13 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Adoption-Events/Mega-Adoption-Events/2025-Events/20250601-Mega-Adoption-Event-Petco-USQ-Ally-D/i-dpDMxZC/0/MssmfGK6CmVGzVTnMHHhjmP3mRmZDdvtLCnkh4TKb/XL/25.06.01.MPRMegaAdoptionEventPetcoUnionSq-060-XL.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,13.0,4,No,https://www.muddypawsrescue.org/adoptable?dog=008713
Champ,6 years,Male,Unknown,"Champ is an incredibly sweet boy who is eager to please. He walks confidently and with purpose through NYC and is happy to stop and say hello. Champ loves to snuggle and is happy to chill at your feet. He’s a great WFH companion, crate trained, potty trained and is excellent on the leash. He’s a gentle soul looking for another gentle soul.

﻿Champ is approximately 6y 1m 18d old and is fully grown at 42 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/C/ChampSFCreateDate20251008/i-C84w657/0/Kfxf73rPMZD6hhSQ2TH5ksh9r6ZJ3f3DS9qVmLgVF/XL/IMG_5721-XL.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,42.0,3,Yes,https://www.muddypawsrescue.org/adoptable?dog=009135
Bridgett,a year,Female,Unknown,"Bridgett is a young, playful, smart and curious dog. She does amazing in her crate and when left alone, and sleeps through the night. It is her safe space. The first couple of days she was  nervous but after a couple of days you can really see her amazing sweet, playful and loving personality develop. 

She is very very intelligent and food motivated and picks up on things very quickly. She is a puller on the leash but it’s because she is nervous outside. She does a lot better on a harness and responds very well to training outside. She is a beautiful dog who would do great with someone who is willing to take the time to train her as she is incredibly responsive and capable. 

She has not shown big interest in other dogs or children, but when other dogs do come up to her to say hi she is such a lady and very friendly. Bridgett just needs someone who will love & commit to her! She is going to be an amazing dog and best friend and is such a sweet and intelligent special girl.

﻿Bridgett is approximately 1y 4m 20d old and is fully grown at 31 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Adoption-Events/Regular-Adoption-Events/2025-Events/20251115-Adoption-Event-Petsmart-Flatiron-Elizabeth-Capreol/i-M3ZxtQJ/0/KLpdJkKcpbnhNj5PBRFx7LhmWjFsPLvhm385xrfWP/X2/20251115-3Q9A1572-X2.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,31.0,1,Yes,https://www.muddypawsrescue.org/adoptable?dog=008879
Luke,3 years,Male,Unknown,"Luke is ready to find his best friends! He has so much love to give and wants to be friends with everyone - just at his own pace. Luke has been very gentle with dogs, cats, and has politely observed chickens. His kryptonite is also his superpower! Loud noises, sudden movements, and the like can startle him causing him to bark but it also means that he's a very smart boy and approaches things with caution (read: very, very open to training!). He LOVES play!! Dolls, bones, treats, snow - you name it, he'll happily chase it for his human. 

Luke also loves other dogs and would do really well in a home with a slightly older dog who still has play energy. Currently, Luke is residing with a human toddler and approaches cautiously. Toddlers make lots of noise which can startle Luke but he's being very brave!

﻿Luke is approximately 2y 8m 17d old and is fully grown at 42 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/L/HunterSFCreateDate20240306/i-wtm97t4/0/Kc6tXxB6PgKNhSLfFQGH9PDCxgfnj5ZKC7KkqWR4Q/XL/IMG_3313-XL.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,42.0,2,Yes,https://www.muddypawsrescue.org/adoptable?dog=007479
