name,breed,sex,image,adoption_url,description,age_group,source_website,ishousebroken,current_weight,size,energy_level,is_good_with_kids,is_good_with_dogs,is_good_with_cats
Eleanor,"Terrier, Pit Bull",Female,https://new-s3.shelterluv.com/profile-pictures/622a6cf2442102fa96cb21b8582cb4e6/35a43a8e0aff9a74a7179d099b258868.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Eleanor&hsLang=en,"If Eleanor looks wise beyond her years, it’s because she’s been through a lot—but despite it all, she’s a sweet gal! 

At just three years old, Eleanor’s body shows signs of having had puppies, though we’re not sure if it was accidental or if she was intentionally used for breeding. 

She was involved in a court case, leaving her in limbo at a municipal shelter for around a year while the case worked its way through the courts. During that time, she became the shelter’s go-to pup for socialization and playdates with other dogs, given her social nature. 

Now, it’s her turn to shine! Eleanor is a friendly a curious lady who gets along well with other dogs, but wouldn’t mind being your one-and-only, either. Adopt Eleanor!",Adult,https://animalhaven.org/adopt/dogs/212328795-eleanor?hsLang=en,,61.0,Unknown,Medium,Unknown,Unknown,Unknown
Mario,"Terrier, American Staffordshire",Male,https://new-s3.shelterluv.com/profile-pictures/869f57a4ce3d69d6d2b689a00fa3993f/3bcea9e6a7dc8d0589032b53272191a6.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Mario&hsLang=en,"Mario was found as a stray on the streets of NYC. This terrified boy was trembling when he was caught by police who brought him to a municipal shelter. It's hard to say what his life was before he was found, but he's clearly been through a lot. He was completely shut down when he first arrived at Animal Haven - he trembled in the corner and wouldn’t even take treats tossed near him. But our dedicated staff have been working with him every day to earn his trust and we’re so happy to report that their work has clearly paid off.

Mario has become fast friends with many of our staff and volunteers and has really come out of his shell, but he will need a patient and understanding family who’s willing to work at his pace to build his confidence and set him up for success. He is still a little bit nervous on walks if there is a lot of foot traffic, so he would likely do best in a quieter neighborhood. Mario has shown no aggression during his time with us, favoring avoidance if he’s ever uncomfortable in any situation. Overall, he is a gentle soul who just needs a little extra time to settle in to a new space.

He’s a big guy, but tries to be small whenever he can. We know this sweet boy has a big heart to match and will make an amazing companion for someone willing to put in a little time for him. Interested in Mario? We encourage you to submit an inquiry through his profile prior to visiting him to make sure Mario’s best friends can make his introductions. Adopt Mario!",Adult,https://animalhaven.org/adopt/dogs/210460619-mario?hsLang=en,,64.7,Unknown,Medium,Unknown,Unknown,Unknown
Harmony,"Retriever, Black Labrador/Mixed Breed (Medium)",Female,https://new-s3.shelterluv.com/profile-pictures/66ce1039c013e93a841213709603d079/c4d186bbb06f9f92e3046924a453c851.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Harmony&hsLang=en,"Harmony is so sweet, it’s hard to believe how much she’s endured. Originally from an overcrowded southern shelter, Harmony came to Animal Haven with her 5 puppies. She was heartworm positive, with one of the heaviest heartworm burdens we’ve ever seen. Her treatment has stretched over months, during which time she’s had to remain as calm as possible. 

Even worse, when our veterinary team took x-rays of Harmony’s heart, they found her neck and chest to be riddled with BB pellets. Someone had shot at this sweet, gentle mama. 

That's all behind her now, and we're now rewriting Harmony’s story—helping her heal and ultimately find the loving home she so deserves. Harmony is currently in a foster home, where she's staying calm during heartworm treatment and recovery. Reach out to schedule a meet and greet with this incredibly sweet girl!",Adult,https://animalhaven.org/adopt/dogs/210849879-harmony?hsLang=en,,35.0,Medium,Medium,Unknown,Unknown,Unknown
Douglas,Terrier/Mix,Male,https://new-s3.shelterluv.com/profile-pictures/8911f33b7ed2ab9ec13fe7a11840d536/0c14842853b4a0bd9c7e272ffb4a25f7.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Douglas&hsLang=en,"Poor Douglas was found on the side of a road in Antigua, dragging his hind legs. Although his rescuers initially thought he had been hit by a car, upon further inspection his injuries were actually fairly old. They believe that he was likely attacked by other dogs on the island, leaving him with partial paralysis in his hindquarters.

Thanks to the amazing Dogs and Cats of Antigua, Douglas has made his way up to Animal Haven where his new life begins. We are so thankful to have the opportunity to give this sweet boy the chance at life he otherwise would not have had.

Right now we are still learning more about Douglas's current condition and we don't have a lot of answers just yet. We are sending him to our partner vets for spinal x-rays and a neurological consultation to get a better idea of the extent of his paralysis. Once we have more information, we'll be able to determine if he's a candidate for corrective surgery or wheelchair! We'll keep you all updated along his journey but he is available for adoption right now! Animal Haven will of course be covering the costs of his diagnostics and treatments and we're hopeful Douglas will charm his way into someone's heart soon.

In addition to his paralysis, Douglas is also suffering from heartworm, ehrlichia, a urinary tract infection, and open lesions on his legs - we know, he's got a LOT going on.

If you'd like to learn more about Douglas or are interested in adopting him, please contact Animal Haven to get in touch with a staff member directly.",Adult,https://animalhaven.org/adopt/dogs/51247915-douglas?hsLang=en,,28.8,Unknown,Medium,Unknown,Unknown,Unknown
Milady,Boxer,Female,https://new-s3.shelterluv.com/profile-pictures/e988612662c2a231cae505f2569b1a03/4e16b8dde191306d545a92c47d62b6b3.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Milady&hsLang=en,I just arrived at Animal Haven! Please check back soon for more info about me.,Adult,https://animalhaven.org/adopt/dogs/212403067-milady?hsLang=en,,,Unknown,Medium,Unknown,Unknown,Unknown
Cherie,"Terrier, American Staffordshire/Mixed Breed (Medium)",Female,https://new-s3.shelterluv.com/profile-pictures/40dd7d1b9197d7f36fe58d6c36f2d68d/20230131135839.png,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Cherie&hsLang=en,"Cherie, Cherie baby! Cherie, can you come out tonight? 

Sweet Cherie is looking for a family and she knows that you're thinking, ""I'm gonna make-a you mineee!""  She's a young and active staffie mix looking to be your one and only pup. She's super affectionate, big on hugs, and absolutely loves bringing her toys with her everywhere she goes.

A good Samaritan saw this poor girl being abandoned and immediately scooped her up out of harm's way. She's now safe and sound at Animal Haven and waiting for another chance to love again. 

Cherie has been in a few fosters during her time at Animal Haven and has done amazing on all of her outings away from the shelter.

Here are some notes from her last foster: 
Cherie is a sweet and well-behaved girl in a home, especially once she has a few days to settle into a new routine - she was accident free in just a few days! She's respectful of human belongings, both when you're home and when you're not.  She's affectionate, cuddly, and loves being right by your side whenever you're home! Cherie is a young and active girl who loves to play, but settles in her bed or on the couch when you leave and will wait for you to get home. 

Cherie gets incredibly excited for walks - she's ready to go whenever! Her toys are great to keep her focused and helps keep her energy directed where it needs to be. She has come a long way since she's been with us, but is still working on her leash manners. She doesn't like to say hi to other dogs, but as long as they don't bark at her, she's been learning to mind her own business.

She is a sweet and active companion and also a good jogging partner! She'll appreciate it as she has lots of energy! Cherie will likely never be a dog park kind of dog, although she has played with some other dogs in the past, she can be a lot for other dogs if they can't match her energy.

Cherie is hoping she'll be able to find a new family of her very own and we know there's someone out there looking for an active, smart-cookie like her! Come meet Cherie at Animal Haven!",Adult,https://animalhaven.org/adopt/dogs/52927830-cherie?hsLang=en,,56.0,Medium,Medium,Unknown,Unknown,Unknown
Monte,"Retriever, Yellow Labrador/Mix",Male,https://new-s3.shelterluv.com/profile-pictures/c645f0f9f29397f1dfb7801fb3e26fd2/20240209101356.png,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Monte&hsLang=en,"Monte lives with a condition called Megaesophagus. This condition varies in severity on a case by case basis with all dogs and we look to our vets directly on recommendations for his care. Essentially, Monte's esophagus is enlarged and doesn't function correctly to help keep his food down. Monte must sit in a special chair that keeps him upright in order to prevent him from regurgitating his food and he needs to stay upright after feedings for 10-15 minutes to ensure the food safely reaches his stomach. Monte has his own custom ""Bailey Chair"" and uses it like an absolute pro - he hops right into it when it's meal time! His chair will come with him when he's adopted!

Monte is a gleeful, playful dog who otherwise lives a normal life. He LOVES toys and enjoys his ""party time"" in our training room where he runs out his zoomies. Although his condition prevents us from using treats to train, he's highly toy motivated and has been picking up basics like a pro! We've also been utilizing special treats just for dogs with his condition which he loves! Potential adopters will need to be aware that Monte is on a special diet for his condition and currently has 3 meal times a day. If he accidentally ingests anything between those mealtimes, he will need to sit in his chair. He's a big boy that will need consistent, unique training and supervision while he works on his impulse control!

Unfortunately, Monte has spent the majority of his life in a shelter environment during the pandemic, Monte is a little behind in his socialization. He can be unsure about meeting new people and will bark at things he is apprehensive about. He is great with those who he has been properly introduced to though and good introductions will be key! Monte would likely do best in a quieter neighborhood out of Manhattan, away from any enticing sidewalk snacks he shouldn't get into and scary skateboarders. 

If you're interested in finding out more about Monte and his condition, please contact Animal Haven!",Adult,https://animalhaven.org/adopt/dogs/16083746-monte?hsLang=en,,55.0,Unknown,Medium,Unknown,Unknown,Unknown
Bitzy,"Retriever, Labrador/Mix",Female,https://new-s3.shelterluv.com/profile-pictures/6c613af121b517f502c2641233fc1c27/3b7d2814015c7defcbd6cf8b455c1c76.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Bitzy&hsLang=en,"Bitzy’s life was turned upside down when she found herself back at Animal Haven after nearly 6 years, due to no fault of her own. Understandably, Bitzy is adjusting to being back at the shelter, so we’re taking things slow with her. Despite everything, Bitzy is sweet as can be, leaning in for pets and offering gentle nudges. 

Will you offer Bitzy the second chance she deserves? Meet her at Animal Haven!",Adult,https://animalhaven.org/adopt/dogs/10051213-bitzy?hsLang=en,,31.9,Unknown,Medium,Unknown,Unknown,Unknown
Mars,"Bulldog, English",Male,https://new-s3.shelterluv.com/profile-pictures/6c25729def026bd48778c7f2d1daeed1/2abf2ef73f089a28e450f3cb4f5f7502.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Mars&hsLang=en,"Meet our chunky, hunky Bulldog boys: Bruno and Mars! These guys are all wrinkles and love, and can either be adopted together or separately (after some time with us, they don’t seem to be bonded).

These two were surrendered to us after being in a home all their lives. They’re adjusting and showing us their charming, snuffly Bulldog personalities. Don’t let their age deter you—these bullies still have a lot of love left in ‘em! They do a whole lot of nothing most of the day, so they might be a couch potato’s dream dog. But Bulldog people know this breed has a whole lot of other things to deal with. From crusty skin folds and dry eyes to allergies and breathing difficulties, expect them to need a little extra care to make up for their lower energy requirements! That said, these two are in pretty good shape, all things considered. 

Adopt Mars!",Adult,https://animalhaven.org/adopt/dogs/212040192-mars?hsLang=en,,74.0,Unknown,Medium,Unknown,Unknown,Unknown
Bruno,"Bulldog, English",Male,https://new-s3.shelterluv.com/profile-pictures/2915bb84175e112de8f36da9e918dc16/7873a9d122ea22566197297a24246ef9.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Bruno&hsLang=en,"Meet our chunky, hunky Bulldog boys: Bruno and Mars! These guys are all wrinkles and love, and can either be adopted together or separately (after some time with us, they don’t seem to be bonded).

These two were surrendered to us after being in a home all their lives. They’re adjusting and showing us their charming, snuffly Bulldog personalities. Don’t let their age deter you—these bullies still have a lot of love left in ‘em! They do a whole lot of nothing most of the day, so they might be a couch potato’s dream dog. But Bulldog people know this breed has a whole lot of other things to deal with. From crusty skin folds and dry eyes to allergies and breathing difficulties, expect them to need a little extra care to make up for their lower energy requirements! That said, these two are in pretty good shape, all things considered. 

Adopt Bruno!",Adult,https://animalhaven.org/adopt/dogs/212040178-bruno?hsLang=en,,53.3,Unknown,Medium,Unknown,Unknown,Unknown
Sinatra,"Terrier, Pit Bull",Male,https://new-s3.shelterluv.com/profile-pictures/8385d939af534243ad57db10af300d9b/fcd78fd8aca8c7b3a30491850a81e1d6.jpg,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Sinatra&hsLang=en,"Be careful, because Sinatra might just steal your heart! This dreamy low-rider is ready to shower you with sloppy kisses and show off his finest puppy dog eyes. 

He has a few lumps and bumps, which our veterinary team is checking out and will have more information on soon. This senior pup deserves a couch of his own to nap on, a best friend to go on leisurely strolls with, and all the belly rubs he could want. Adopt Sinatra!",Senior,https://animalhaven.org/adopt/dogs/212328797-sinatra?hsLang=en,,40.8,Unknown,Medium,Unknown,Unknown,Unknown
Wheein,"Retriever, Labrador/Mixed Breed (Medium)",Female,https://animalhaven.org/hs-fs/hubfs/raw_assets/public/animal-haven/images/placeholder--dog.png?width=512&height=512&name=placeholder--dog.png,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Wheein&hsLang=en,I just arrived at Animal Haven! Please check back soon for more info about me.,Puppy,https://animalhaven.org/adopt/dogs/212413464-wheein?hsLang=en,,,Medium,Medium,Unknown,Unknown,Unknown
Hwasa,"Retriever, Labrador/Mixed Breed (Medium)",Female,https://animalhaven.org/hs-fs/hubfs/raw_assets/public/animal-haven/images/placeholder--dog.png?width=512&height=512&name=placeholder--dog.png,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Hwasa&hsLang=en,I just arrived at Animal Haven! Please check back soon for more info about me.,Puppy,https://animalhaven.org/adopt/dogs/212413465-hwasa?hsLang=en,,,Medium,Medium,Unknown,Unknown,Unknown
Solar,"Retriever, Labrador/Mixed Breed (Medium)",Female,https://animalhaven.org/hs-fs/hubfs/raw_assets/public/animal-haven/images/placeholder--dog.png?width=512&height=512&name=placeholder--dog.png,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Solar&hsLang=en,I just arrived at Animal Haven! Please check back soon for more info about me.,Puppy,https://animalhaven.org/adopt/dogs/212413456-solar?hsLang=en,,,Medium,Medium,Unknown,Unknown,Unknown
Moonbyul,"Retriever, Labrador/Mixed Breed (Medium)",Female,https://animalhaven.org/hs-fs/hubfs/raw_assets/public/animal-haven/images/placeholder--dog.png?width=512&height=512&name=placeholder--dog.png,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Moonbyul&hsLang=en,I just arrived at Animal Haven! Please check back soon for more info about me.,Puppy,https://animalhaven.org/adopt/dogs/212413460-moonbyul?hsLang=en,,,Medium,Medium,Unknown,Unknown,Unknown
Stevie,"Terrier, American Staffordshire",Female,https://animalhaven.org/hs-fs/hubfs/raw_assets/public/animal-haven/images/placeholder--dog.png?width=512&height=512&name=placeholder--dog.png,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Stevie&hsLang=en,"Stevie’s backstory is a bit of a mystery to us, but what we do know is heartbreaking. She was found in a box along with two other puppies, one of which had sadly passed away. She ended up with a family who was ultimately not able to care for her, and made her way to Animal Haven for a third chance.

Stevie is a social gal who loves human attention and has been interested in the dogs she’s met at the shelter so far. She has exuberant puppy energy and is understandably a bit anxious, given everything she’s gone through. With stability, patience, and lots of love, we think Stevie will blossom into a much more confident dog and a loving companion! Adopt Stevie!",Puppy,https://animalhaven.org/adopt/dogs/212385949-stevie?hsLang=en,,35.0,Unknown,Medium,Unknown,Unknown,Unknown
Bauble,Chihuahua,Female,https://animalhaven.org/hs-fs/hubfs/raw_assets/public/animal-haven/images/placeholder--dog.png?width=512&height=512&name=placeholder--dog.png,https://animalhaven.org/adopt/adoption-interest-form?animal_s__of_interest=Bauble&hsLang=en,I just arrived at Animal Haven! Please check back soon for more info about me.,Adult,https://animalhaven.org/adopt/dogs/212407279-bauble?hsLang=en,,,Unknown,Medium,Unknown,Unknown,Unknown
Kobe,Mixed Breed (Medium)/Mix,Male,https://new-s3.shelterluv.com/profile-pictures/1f59288f55b1503b8def887d9c999cf7/58d22a0da89fd490f4144580a088b1e3.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-8097,"Kobe is one of those dogs everyone falls in love with. He’s the absolute nicest boy; gentle, affectionate, and so well-behaved both at the shelter and in his foster home. Kobe loves his toys, loves his people, and especially loves to cuddle (he’ll do his best to fit on your lap, no matter the size!). He’s been with us for quite some time now, and while we adore him, he truly deserves a loving home of his own. Kobe has made a few doggy friends and would make a great furry sibling to a well-matched pup. If you’re looking for a dog who’s as sweet as they come and ready to fill your life with love, Kobe’s your guy. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",Adult,https://www.bideawee.org/adopt-pet/kobe/24379706,,,Medium,Medium,Unknown,Unknown,Unknown
Elvis,Mixed Breed (Small),Male,https://new-s3.shelterluv.com/profile-pictures/4448b45570ac03e2efabe4053e721c53/f704aafbb0faf17260e25823c7997e5d.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64068,"Elvis has come a long way. When he first arrived, he was extremely fearful and unsure of the world around him. Thanks to the patience and kindness of his foster family, he’s made wonderful progress and is learning that life can be pretty great. He gets along well with everyone in the household and is slowly discovering the joy of being loved. Elvis still takes a little time to warm up, but once he does, his sweet, gentle personality shines through. He’s looking for a patient adopter who will give him the love, understanding, and time he needs to feel safe, and in return, he’ll give you all the trust and loyalty he’s been saving up. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",Adult,https://www.bideawee.org/adopt-pet/elvis/210464583,,,Small,Medium,Unknown,Unknown,Unknown
Kirsten,Mixed Breed (Medium)/None,Female,https://new-s3.shelterluv.com/profile-pictures/b4f4e2112b3e53e8f7e9e4206748dbd7/9623cf297ce74cc8007311985888b187.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64538,"Sweet Kirsten has traveled a long way from Tennessee in search of a quiet, patient forever home where she can truly feel safe and loved. This little girl has a gentle soul and a heart full of potential—she’s just waiting for the right person (and dog) to help her shine.  Kirsten is very shy and nervous around new people and unfamiliar environments. But don’t let that stop you from meeting her—because once she feels secure, especially in the company of another well-matched, confident dog, her personality begins to blossom. In fact, she thrives when she has a calm canine companion to show her the ropes and help her feel at ease.  She’s not the type of pup to jump into your arms on day one, but if you’re the kind of person who understands the beauty of slow trust and quiet milestones, Kirsten might just be your perfect match. Every tail wag, every curious glance, every moment of bravery—those are her love letters to you.  Kirsten would do best in a peaceful home with another friendly dog and adults who understand how to give her the space and time she needs to come out of her shell.  If you believe in second chances, gentle patience, and the magic of watching a scared dog learn to feel safe, Kirsten is ready to start that journey—with you.  This cutie resides at our Wantagh location and meetings are by appointment only. If you are interested in meeting them, you must click ""Apply for Adoption"" to submit an online application. If you're viewing this animal on Petfinder, please visit the animal's page on Bideawee.org and click on the ""Apply for Adoption"" button to submit an adoption application. Once we receive your application, we will be in touch to schedule an appointment to meet them! Prior to adoption, all of our animals are spayed/neutered, microchipped and given their age-appropriate vaccines.",Adult,https://www.bideawee.org/adopt-pet/kirsten/211216687,,,Small,Medium,Unknown,Unknown,Unknown
Charlie,Chihuahua,Male,https://new-s3.shelterluv.com/profile-pictures/3654412de891e4b9a4efe1bd10a1855b/f8034fd7455514b9efd08ce8ecf97966.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64558,"This little boy with the big smile is Charlie! Charlie never fails to greet us with a wagging tail, always happy to see his people friends. He's a petite cutie, perfectly sized to tag along with you wherever you go. After a day of adventure, he'll want nothing more than to cuddle up for snuggles. A total sweetheart, Charlie will make an amazing best friend. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",Senior,https://www.bideawee.org/adopt-pet/charlie/211246374,,,Small,Medium,Unknown,Unknown,Unknown
